書籍タイトル,要約
10年変革シナリオ　時間軸のトランスフォーメーション戦略,つまり持続的イノベーションと破壊的イノベーションを両立させ、２つの異なる時間軸で異なるコア事業を創造し続けることが、経営としてのミッションとなる。。①コア事業のディフェンス（投資を抑え、今の事業で徹底して稼げる構造に改革する） ②次の周辺収益事業群の構築（比較的短中期でリターンを生み出すことが可能な、強みが活かせる周辺領域への投資。長期の投資を途切れさせない、次のキャッシュを生み出す領域を創る） ③将来の持続的な成長基盤の創造（新たなケイパビリティの獲得、未来の持続的な成長の基盤を支える将来のコア事業候補へのＲ＆Ｄや機会探索・獲得的な先行投資を続ける）。こうした大きな事業構造の変化は、成果が...
7 POWERS――最強企業を生む７つの戦略,即時対応してくれる羅針盤の役割を果たすために、「戦略」の構想は「単純だが、単純すぎない」ものでなくてはならない。単純であれば、そのコンセプトを日々意識することができる。しかし単純すぎると、重要な要素を取りこぼしてしまうおそれがある。とはいえ、言うは易く行うは難し。「戦略」という難問において、「単純だが、単純すぎない」ということは高いハードルなのだ。。ネットフリックスはそれ以前にもレッド・エンベロープ・エンタテインメントという映像プロダクションを設立し、そこでオリジナル作品を制作したことがあったが、その結果は芳しくなかった。そのため、再度の制作への挑戦も無謀な作戦に終わるかもしれないと危惧された...
Anthro Vision（アンソロ・ビジョン）　人類学的思考で視るビジネスと世界 (日本経済新聞出版),これまで私たちが世界を理解するために使ってきたツールの多くは、どう見てもうまく機能していない。近年、経済予測、選挙の世論調査、金融モデルは当たらず、テクノロジー・イノベーションは危険をはらみ、消費者調査は判断を誤らせる。こうした問題が生じるのはツールが間違っている、あるいは役に立たないためではない。ツールが 不完全 であるためだ。視野が狭く、世界はごくわずかな変数で分類・把握できるという前提に基づいて設計され、文化やコンテクスト（文脈、背景）に配慮せずに使われるからだ。。何を「エキゾチック」と思うかは、その人次第だ。 あらゆる 文化は他の文化から見れば異質である。。人類学者のラルフ・リントンは...
BCG 次の10年で勝つ経営 企業のパーパス(存在意義)に立ち還る (日本経済新聞出版),企業経営者にとっては、もはや共通のニーズを持つ「マスマーケット」はグローバル市場単位では存在せず、どの地域の誰をターゲットにビジネスを展開するかの判断が従来以上に重要になる。。先進国の経済成長の鈍化傾向が続くなか、金融市場の大幅な資金余剰の状況が今後も継続すると考えられる。 ２０１９年末現在、世界のマネーサプライの指標（広義流動性のＧＤＰ比率）は２００８年の１００％から２０１８年の１２４％にまで拡大している（図表１－13）。経済の低成長が続くなかで、各国の金融当局は２０１９年末現在で当面は金融緩和姿勢の継続を示しており、こうした資金余剰状況は今後も強まると思われる。。ビジネスにおける想定外を...
BRAND STORY TELLING　ブランドストーリーのつくりかた,マーケターであるならば、顧客が何かを買うときに下す決断は理性的ではないことをよく知っているはずです。感情的な決断がまずあり、それを理論で正当化しようとする。ストーリーテリングは、他のコミュニケーション方法と比べて、顧客がコンテンツについての情報を受け取りやすく、そして、覚えやすくします。 感情とその情報をつなぎ合わせることに長けている のです。。「ストーリーテリングとは、登場人物、プロット、結末の提示により、情報（意見、宣言、事実、データ、アイディア、議論など）を、感情を介して移行することである」。ストーリーを実際につくり出す前にすべきことがあります。登場人物は誰で、この人たちに何が起こり、...
Build: An Unorthodox Guide to Making Things Worth Making (English Edition),"Early adulthood is about watching your dreams go up in flames and learning as much as you can from the ashes. Do, fail, learn. The rest will follow.。“The only failure in your twenties is inaction. The rest is trial and error.”。Humans learn through productive struggle, by trying it themselves and scr..."
CFO思考――日本企業最大の「欠落」とその処方箋,ＩＲで海外投資家などと面談した際、彼らから「ＲＯＥ目標は？」などと聞かれるたびに、「その問いに答える前に、当社の資本コストはどの程度と考えているか？」と逆質問してきました。この問いは、「あなたは、当社株への投資から何％のリターンを期待しているのか？」という質問と近似であり、少しも変な問いかけではありません。 投資家からの回答は、７％から９％が大半で、ＭＵＦＧでもニコンでもさほど変わらないのが実態です。。２０２２年現在、ＡＳＭＬの時価総額は２６４２・２億ドル。日本のトヨタ自動車の２７４２・５億ドルとほぼ同じで、時価総額ランキングは世界 32 位。 29 位のトヨタとほぼ並んでいます。オランダの企...
HIGH OUTPUT MANAGEMENT,すなわち、「マネジャーのアウトプットとは、その直後の監督下にあったり、または影響下にある組織体のアウトプットである」。。マネジャーのアウトプットとは、監督下にあるグループ、あるいは影響力下にあるグループが遂行した成果。マネジャーは多くのボールを同時に空中に上げておき、自分の部門のアウトプットを最高に上げると思われる活動に自分のエネルギーと注意を注がなければならない。いいかえれば、自分の〝テコ作用〟が最大となりそうな点に移るべきなのである。。マネジメントの〝 技術〟というのは、一見比較してみて同じくらいの重要度を持つ多くの活動から、テコ作用の優れたものをひとつ、２つ、あるいはせいぜい３つほど選び...
Hit Refresh（ヒット リフレッシュ）,「マイクロソフトの存在理由は何か？この新たな役職での私の存在理由は何か？」 これは、あらゆる組織のあらゆる人間が自らに問うべきことだ。この問いにはっきりと答えることができなければ、過ちを繰り返す恐れがあるうえに、誠実でもない。もはや、あらゆる人間、あらゆる組織、あらゆる社会が、「リフレッシュ」ボタンを押すべき時期に来ている。それぞれの目的を再び活性化し、再生させ、再構成し、再考すべき時である。。う。彼の行動は、リーダーシップがどうあるべきかを示している。つまり、全員からベストを引き出すということだ。この出来事を通じて私は、リーダーが口を出すべきタイミング、個人やチームの自信を高めるべきタイ...
INNOVATION STACK　だれにも真似できないビジネスを創る,どんな市場でも、いちばんおもしろいのはその果てにある端っこの部分だ。どうして市場はそこで止まるのか？ お金があれば製品を買いそうな顧客はたくさんいるのに、買ってくれない。そして、利益が出ればそうした消費者に製品を売りたくてたまらない企業も、たぶんたくさんある。でもどこかの店で、市場はパタッと止まる。そこはまた、起業家精神の出発点でもある。。ある問題を解決するときの問題は、それが新しい問題を創り出し、新しいソリューションが必要になって、そのソリューションがさらに新しい問題を創り出すということだ。この問題─ソリューション─問題の連鎖が続くうちに、やがて次のどちらかが起こる。問題の解決に失敗して死ぬ...
