Title,Author,Highlight
小倉昌男　経営学,小倉昌男,一生懸命頑張ってネットワークを作り上げる。そのネットワークの上を毎日荷物が流れていく。それがある日、ある数を超したとき、じわりと利益が滲み出てくる。段々滲み出る日が多くなると、ネットワークのどこからか利益がぽたりぽたりと滴り落ちる。そしてやがてそれが集まって、ちょろちょろと溜まり始める。どこから出て来るのかはわからないが、全体として利益が出る。ネットワーク事業というものはそんなものではないだろう
小倉昌男　経営学,小倉昌男,私は思った。サービスを提供する供給者の論理と、サービスを受ける利用者の論理は、正反対の場合が多い。供給者はとかく自分の立場に立って考える、つまり、自分の都合を中心に考えるのである。でも、それは間違ってはいない
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,場合の数からいうと、オセロが一番簡単で、その次にチェス、将棋、囲碁の順番に難しくなる。観測可能な宇宙全体の水素原子の数がおよそ 10 の 80 乗個といわれており、この数字がこの世界で「数えられるもの」の数としては最大だろうから、盤面で起こりうる組み合わせがいかに膨大な数字か、おわかりいただけるのではないだろうか。
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,これだけ組み合わせの数が膨大だと、最後までしらみつぶしに調べることはとうていできない。そこで、盤面を評価するスコアをつくり、そのスコアがよくなるように、次の指し手を探索することになる。それが現在まで続くゲーム攻略のための人工知能の基本的な設計となっている。
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,に、第２次ＡＩブームは、「知識」を入れることで人工知能の能力向上を図ってきた。しかし、ワトソンの性能がどれだけ上がったように見えたとしても、質問の「意味」を理解しているわけではない。
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,第２次ＡＩブームは、「知識」を入れることで人工知能の能力向上を図ってきた。しかし、ワトソンの性能がどれだけ上がったように見えたとしても、質問の「意味」を理解しているわけではない。
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,統計的自然言語処理（Statistical Natural Language Processing）と呼ばれる領域が急速に進展した。これは、たとえば、翻訳を考えるときに、文法構造や意味構造を考えず、単に機械的に、訳される確率の高いものを当てはめていけばいいという考え方である。
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,これらの問題は、結局、同じひとつのことを指している。いままで人工知能が実現しなかったのは、「世界からどの特徴に注目して情報を取り出すべきか」に関して、人間の手を借りなければならなかったからだ。
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,ディープラーニングは、データをもとに、コンピュータが自ら特徴量をつくり出す。人間が特徴量を設計するのではなく、コンピュータが自ら高次の特徴量を獲得し、それをもとに 画像を分類できるようになる（＊注 35）。
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,ディープラーニングが従来の機械学習とは大きく異なる点が２点ある。１つは、１層ずつ階層ごとに学習していく点、もう１つは、自己符号化器（オートエンコーダー）という「情報圧縮器」を用いることだ（＊注 38）。
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,なる。個別・具体的な、さまざまな「手書きの３」を読み込み、４、５回抽象化を繰り返すと、現れるのは「典型的な３」だ。これこそ「３の概念」にほかならない。
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,相関のあるものをひとまとまりにすることで特徴量を取り出し、さらにそれを用いて高次の特徴量を取り出す。そうした高次の特徴量を使って表される概念を取り出す。
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,コンピュータが概念（シニフィエ、意味されるもの）を自力でつくり出せれば、その段階で「これは人間だ」「これはネコだ」という記号表現（シニフィアン、意味するもの）を当てはめてやるだけで、コンピュータはシニフィアンとシニフィエが組み合わさったものとしての記号を習得する。
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,少し理解が難しいのが、そうして得られた特徴量を使って、最後に分類するとき、つまり、「その特徴量を有するのはネコだ」とか「それはイヌだ」という正解ラベルを与えるときは、「教師あり学習」になることだ。「教師あり学習的な方法による教師なし
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,学習」で特徴量をつくり、最後に何か分類させたいときは「教師あり学習」になるのである。
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,ディープラーニングでは、このように「ちょっと違ったかもしれない過去」のデータをたくさんつくり、それを使って学習することで、「絶対に間違いではない」特徴量を見つけ出す。そして、「絶対に間違いではない」特徴量であるがゆえに、その特徴量を使った高次の特徴量も見つけることができるのである。
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,ニューラルネットワークにとって、「過酷な環境」がいろいろと研究されている。そこまでいじめ抜かないと、データの背後に存在する「本質的な特徴量」を獲得できないのである。
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,ディープラーニングの登場は、少なくとも画像や音声という分野において、「データをもとに何を特徴表現すべきか」をコンピュータが自動的に獲得することができるという可能性を示している。簡単な特徴量をコンピュータが自ら見つけ出し、それをもとに高次の特徴量を見つけ出す。その特徴量を使って表される概念を獲得し、その概念を使って知識を記述するという、人工知能の最大の難関に、ひとつの道が示されたのだ。
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,センサー（入力）のレベルで違っていたら、同じ「特徴量」になるはずがない。人間には見えない赤外線や紫外線、小さすぎて見えない物体、動きが速すぎて見えない物体、人間には聞こえない高音や低音、イヌにしか嗅ぎ分けられない匂い、そうした情報もコンピュータが取り込んだとしたら、そこから出てくるものは、人間の知らない世界だろう。そうやってできた人工知能は、もしかしたら「 人間の 知能」とは別のものかもしれないが、間違いなく「知能」であるはず
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,自らを維持し、複製できるような生命ができて初めて、自らを保存したいという欲求、自らの複製を増やしたいという欲求が出てくる。それが「征服したい」というような意思につながる。生命の話を抜きにして、人工知能が勝手に意思を持ち始めるかもと危惧するのは滑稽である。
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,いずれにしても、まず議論すべきは、「人工知能が将来持つべき倫理」ではなく、「人工知能を使う人間の倫理」や「人工知能をつくる人に対する倫理」である。
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,ても、まず議論すべきは、「人工知能が将来持つべき倫理」ではなく、「人工知能を使う人間の倫理」や「人工知能をつくる人に対する倫理」である。
ＵＳＪを劇的に変えた、たった１つの考え方　成功を引き寄せるマーケティング入門 (角川書店単行本),森岡 毅,マーケティングの最大の仕事は、消費者の頭の中に「選ばれる必然」を作ること、そのための活動を「ブランディング」と呼ぶ。
ＵＳＪを劇的に変えた、たった１つの考え方　成功を引き寄せるマーケティング入門 (角川書店単行本),森岡 毅,戦略が組織上層から末端まで下方展開されていくこと、これを「戦略のカスケード・ダウン」と言います。全社レベルの「目的→戦略→戦術」が下位組織である「本部」へと展開されるとき、全社レベルの戦略や戦術を各本部では目的や戦略として設定します。それを更にその下位組織である「部」へ、そして部の下の「課・チーム」へ、さらにその下の「個人」へ下方展開されていきます。全ての個人の業績目標を足し合わせると、会社の「目的→戦略→戦術」に 繫 がっていくように統制していくのです。こうやって大きな組織は多くの個人をまとめて１つの戦略に基づいた活動をすることができるのです。
ＵＳＪを劇的に変えた、たった１つの考え方　成功を引き寄せるマーケティング入門 (角川書店単行本),森岡 毅,戦略が強いと正しい方向へ進む、戦術が強いと遠くまで飛べる」
ＵＳＪを劇的に変えた、たった１つの考え方　成功を引き寄せるマーケティング入門 (角川書店単行本),森岡 毅,美しい戦略というのは、相手と自分の特徴の差を、自身に有利になるように活用できているものです。
ＵＳＪを劇的に変えた、たった１つの考え方　成功を引き寄せるマーケティング入門 (角川書店単行本),森岡 毅,古い話ですが、オーラルケア（歯磨き粉・歯ブラシ市場）の巨人「ライオン」の天下を、「サンスター」という勇敢なチャレンジャーが美しく崩したことがあります。サンスターは小ヘッド歯ブラシ（ヘッドが小さいから奥歯まで磨きやすい歯ブラシ）を発売してシェアを急速に奪いました。しかし巨人であったライオンはすぐに追随することができなかった。なぜならライオンは歯ブラシで№１だっただけでなく、歯磨き粉でも№１だったからです。 　歯ブラシのヘッドに沿って歯磨き粉を出して使う消費者習慣があるため、 小ヘッドの歯ブラシでは歯磨き粉の消費量が減ってしまう。ライオンはできればその方向へ相乗りはしたくなかった のです。サンスターが巨人のジレンマを衝いたことで、ライオンは反撃を決断するまでに時間がかかったと言われています。
ＵＳＪを劇的に変えた、たった１つの考え方　成功を引き寄せるマーケティング入門 (角川書店単行本),森岡 毅,戦況分析とは、「市場構造」をよく理解して、それを味方につけるためにやる のです。ビジネスに限らず、人間の営みは全て「構造的な仕組み」に収束していきます。多くの人間がいて社会を形成し、絶えず無数のミクロの利害が衝突して力学が蓄積され、全体としての構造が定まっていきます。「構造」とは、わかりやすく言えば、「全体としての人々のやり方」です。
ＵＳＪを劇的に変えた、たった１つの考え方　成功を引き寄せるマーケティング入門 (角川書店単行本),森岡 毅,私の経験上、中と下を分けているのは「自社ブランドやカテゴリーの文脈の中で消費者心理をちゃんと理解できているかどうか」です。上と中を分けているのは「ビジネスの文脈を超えて、消費者心理を人として包括的に理解できているかどうか」です。
世界はシステムで動く ― いま起きていることの本質をつかむ考え方,ドネラ・Ｈ・メドウズ、枝廣淳子、小田理一郎,システム とは、古い収集品のようなものではありません。システムとは、何かを達成するように一貫性を持って組織されている、相互につながっている一連の構成要素です。
世界はシステムで動く ― いま起きていることの本質をつかむ考え方,ドネラ・Ｈ・メドウズ、枝廣淳子、小田理一郎,システムは通常、そのシステムでありつづけ、その要素をすべて取り替えたとしても、つながりと目的が同じである限り、変わるとしてもゆっくりとしか変わりません。
世界はシステムで動く ― いま起きていることの本質をつかむ考え方,ドネラ・Ｈ・メドウズ、枝廣淳子、小田理一郎,システム思考家は、世界を「フローの操作によってその水準を調整するメカニズムが付いているストックの集合体」として見ています。 　つまり、システム思考家は、世の中を「フィードバック・プロセス」の集合体として見ているのです。
世界はシステムで動く ― いま起きていることの本質をつかむ考え方,ドネラ・Ｈ・メドウズ、枝廣淳子、小田理一郎,レジリエンスとは、ある変動のある環境の中でシステムが生き残り、持続する能力がどの程度あるか、ということです。レジリエンスの反対は、「もろさ」や「硬直性」となります。 　レジリエンスを生み出すものは、大激動の後でさえ、システムを立て直すためにさまざまなやり方で機能しうる、多くのフィードバック・ループからなる豊かな構造です。ひとつ
世界はシステムで動く ― いま起きていることの本質をつかむ考え方,ドネラ・Ｈ・メドウズ、枝廣淳子、小田理一郎,ヒエラルキーのあるシステムは、部分的に分解することができます。システムの一部を取り外すことができ、特に濃密な情報のつながりを持つサブシステムは、（少なくとも部分的には）それ自体がひとつのシステムとして機能できます。
世界はシステムで動く ― いま起きていることの本質をつかむ考え方,ドネラ・Ｈ・メドウズ、枝廣淳子、小田理一郎,システムの挙動は、成長、停滞、衰退、振動、ランダムな動き、進化といった経時的なパフォーマンスです。もしニュースが、もっと上手に、出来事を過去からの流れの中に位置づけてくれれば、私たちは挙動レベルをより良く理解できるようになるでしょう。それは、出来事レベルの理解よりも深いものです。システム思考家が問題に直面したときにまず行うのは、データや時系列グラフ、システムの過去の様子を探ることです。長期的な挙動が、その根底にあるシステム構造を理解する鍵を提供してくれるからです。そして、構造は、単に何が起こっているかだけではなく、それはなぜなのかを理解する上での鍵を握っています。
世界はシステムで動く ― いま起きていることの本質をつかむ考え方,ドネラ・Ｈ・メドウズ、枝廣淳子、小田理一郎,キログラムまけば、４５０リットル増えるでしょう。 「非線形の関係」は、比例的な因果関係を持たないものです。原因と結果の関係は、直線ではなく、曲線か波線でしか描くことができません。
世界はシステムで動く ― いま起きていることの本質をつかむ考え方,ドネラ・Ｈ・メドウズ、枝廣淳子、小田理一郎,「境界とは、私たち自身が作っているものであり、新たな議論や問題、目的ごとに、考え直すことができるし、考え直すべきである」と覚えておくことは、重要な技能です（
世界はシステムで動く ― いま起きていることの本質をつかむ考え方,ドネラ・Ｈ・メドウズ、枝廣淳子、小田理一郎,私たちは、自分の持っている不完全な情報を完全に解釈することすらしない」と言います。リスクの認識を誤り、物事について実際よりもずっと危険だと考えたり、実際よりもずっと危険ではないと考えたりします。私たちは〝誇張された現在〟に生きているのです。最近の経験には過大に注意を払い、それよりも過去の経験にはほとんど注意を払わず、長期的な挙動よりも現在の出来事を重視することになります。
世界はシステムで動く ― いま起きていることの本質をつかむ考え方,ドネラ・Ｈ・メドウズ、枝廣淳子、小田理一郎,システム内で目標を一致させることは、つねに可能なことではありませんが、探ってみる価値のある選択肢です。それは、より狭い目標を手放し、システム全体の長期的な幸せを考慮することによってのみ、見いだすことができます。
世界はシステムで動く ― いま起きていることの本質をつかむ考え方,ドネラ・Ｈ・メドウズ、枝廣淳子、小田理一郎,共有地の悲劇は、その資源の利用者の成長に対して、資源からのフィードバックが欠けている（または、時間的遅れが長すぎる）結果、生じます。
世界はシステムで動く ― いま起きていることの本質をつかむ考え方,ドネラ・Ｈ・メドウズ、枝廣淳子、小田理一郎,フィードバック・ループにおける時間的遅れは、システムの挙動を決定的に決するものであり、振動の原因となることがよくあります。自分の目標を達成するために、ストック（自分の店舗の在庫）を調整しようとしているのに、ストックの状態に関する情報が遅れてしか入ってこないとしたら、自分の目標を上回ったり下回ったりするでしょう。
世界はシステムで動く ― いま起きていることの本質をつかむ考え方,ドネラ・Ｈ・メドウズ、枝廣淳子、小田理一郎,私たちが犯す大きな過ちのひとつは、こういった「非常時」対応メカニズムを、「ほとんど使われていないし、コストがかかっているようだから」と削り落としてしまうことです。そうしても、短期的にはその影響は何も見えませんが、長期的にはシステムが生き残れる条件の幅を大きく狭めることになります。絶滅危惧種の生育地に侵入することは、私たちがこのことをこの上なく痛ましいやり方で行う一例です。もうひとつの例は、自分自身の休息やレクリエーション、人とのつきあい、瞑想のための時間を奪ってしまうことです。
世界はシステムで動く ― いま起きていることの本質をつかむ考え方,ドネラ・Ｈ・メドウズ、枝廣淳子、小田理一郎,４章で、オランダの住宅開発における電力メーターの話をしました。メーターが地下室に設置された家もあれば、玄関ホールに設置された家もありました。家屋にはほかに違う点はありませんでしたが、玄関のよく目につく場所にメーターがあった家のほうが、電力消費量は 30％ 少なかったという話です。 　これは私のお気に入りの話です。システムの情報構造に有効性の高いレバレッジ・ポイントが存在していることを示す例だからです。パラメーターを調整したり、既存のフィードバック・ループを強めたり弱めたりすることではありません。以前には届いていなかった場所へフィードバックを伝える、新しいループなのです。
世界はシステムで動く ― いま起きていることの本質をつかむ考え方,ドネラ・Ｈ・メドウズ、枝廣淳子、小田理一郎,ただひとつの文化にこだわることは、学習を閉ざし、レジリエンスを弱めます。いかなるシステムも（生物学的なものでも、経済的なものでも、社会的なものでも）あまりに固く閉ざされていると、自己進化ができません。体系的に実験をさげすみ、イノベーションの原材料を消し去ってしまうシステムは、この非常に変化しやすい惑星の上では、長期的には消える運命にあります。
世界はシステムで動く ― いま起きていることの本質をつかむ考え方,ドネラ・Ｈ・メドウズ、枝廣淳子、小田理一郎,重要なものではなく、測りやすいものを中心に目標を設定することから陥るシステムの落とし穴については、すでに見てきました。ですから、その落とし穴にはまってはいけません。人は、数える能力だけではなく、質を評価する能力も授かっているのです。
世界はシステムで動く ― いま起きていることの本質をつかむ考え方,ドネラ・Ｈ・メドウズ、枝廣淳子、小田理一郎,測りやすいかどうかにかかわらず、成長、安定性、多様性、レジリエンス、持続可能性といった、システム全体の特性を高めることをめざしましょう。
確率思考の戦略論　ＵＳＪでも実証された数学マーケティングの力 (角川書店単行本),森岡 毅、今西 聖貴,ます。 人は1人1人、それぞれのプレファレンスに基づいたエボークト・セットに合ったサイコロを持ち、そのカテゴリーの購買回数の分だけサイコロを振っているようなもの です。それぞれの個々人のサイコロを振る動作が、全体として集積されたものが「シェア」であり、シェアは市場全体のプレファレンスを表しています。
確率思考の戦略論　ＵＳＪでも実証された数学マーケティングの力 (角川書店単行本),森岡 毅、今西 聖貴,1購入当たりの購入個数や平均単価において、直接的な奪い合いが起こっている訳ではありません。すなわち、我々は購入意志決定の争奪戦を行っているのです。
確率思考の戦略論　ＵＳＪでも実証された数学マーケティングの力 (角川書店単行本),森岡 毅、今西 聖貴,ようするに戦略の行きつく先もその3つしかないということです。 戦略、つまり経営資源の配分先は、結局のところ Preference（好意度）、 Awareness（認知）、 Distribution（配荷） の3つに集約される のです。その中でも無限の可能性を持っているのはプレファレンスのみですから、戦略の究極的な焦点は消費者プレファレンスを高めることです。繰り返しになりますが、プレファレンスは、主にブランド・エクイティー、価格、製品パフォーマンスの3つによって決定されます。
確率思考の戦略論　ＵＳＪでも実証された数学マーケティングの力 (角川書店単行本),森岡 毅、今西 聖貴,あくまでも、 自社ブランドの市場全体における魅力度（プレファレンス） を拡大するのが目的 であって、ターゲティングはそのための1つの手段に過ぎない のです。
確率思考の戦略論　ＵＳＪでも実証された数学マーケティングの力 (角川書店単行本),森岡 毅、今西 聖貴,当然ですがそのリスクは分析した上での結論でした。それは「映画好きなファン層」のプレファレンスの本質、彼らがなぜUSJに来るのかを見極めることに他なりません。簡単に言うと、彼らは「USJが映画だけのテーマパークだから来ている」のではなく、「自分の好きな映画のコンテンツがあるから来ている」のです。もっと言うと、彼らは映画のコンテンツだから来ているのではなく、自分の好きなコンテンツがあるから来ているのです。映画だろうが、アニメだろうが、ゲームだろうが、そんな「フォーマット（形式）」によって消費者のプレファレンスが決まっている訳ではないのです。つまり映画かどうかなんて、プレファレンスに関係がありません。
確率思考の戦略論　ＵＳＪでも実証された数学マーケティングの力 (角川書店単行本),森岡 毅、今西 聖貴,しかも、TDRでさえ、よく見れば、インディ・ジョーンズ、スター・ウォーズ、そしてこれからはアバターと、およそミッキーマウスの世界観とは 相容れないバラエティーをパークにいくつも含んでいます。Mを増やすために彼らも正しいことをやっているのです。
確率思考の戦略論　ＵＳＪでも実証された数学マーケティングの力 (角川書店単行本),森岡 毅、今西 聖貴,それは「同意書の書き方が違う」というものでした。同意率の低い国々では、「同意しますか？」という質問にチェックを入れなければ「臓器提供に反対した」とみなすことを同意書のデフォルトにしていたのです。反対に同意率が高い国々では、「同意しませんか？」という質問にチェックを入れなければ、つまり反対しなければ「臓器提供に同意した」とみなすことをデフォルトにしていました。国民性や教育の違いなどが主なドライバーではなかったのです。
確率思考の戦略論　ＵＳＪでも実証された数学マーケティングの力 (角川書店単行本),森岡 毅、今西 聖貴,そこで 戦略家は、1）自分自身の時間をどこに集中して使えば戦果が最大化するか、2）自分以外の人々をどこにどう集中させて使えば戦果が最大化するか、この2つを冷静に考える のです。
アマゾンと物流大戦争 (ＮＨＫ出版新書),角井 亮一,カクヤスは１店舗あたり１・２キロメートル半径商圏というロジスティクスを見つけ出しました。
アマゾンと物流大戦争 (ＮＨＫ出版新書),角井 亮一,カクヤスのビジネスをより深く理解するため、ここで物流用語を１つ覚えていただきたいと思います。「ストックポイント（ stock point）」です。英語でストックは在庫、ポイントは地点を指しますが、配送のために在庫を置いておく場所のことを意味し、多くの場合はピッキングから出荷までの基本的な物流機能を備えています。
アマゾンと物流大戦争 (ＮＨＫ出版新書),角井 亮一,ヤマト運輸、佐川急便、日本郵便の３強による寡占化が進み、上位３社の合計は 92・５％にも達します。
アマゾンと物流大戦争 (ＮＨＫ出版新書),角井 亮一,例えば、米国ではＵＰＳやフェデックスでしか実現していなかった日祝配送を、アマゾンがＵＳＰＳで実施すると２０１３年に発表したときには、全米のネット通販事業者が驚きました。 　なぜアマゾンにはそれができたのか。実はＵＳＰＳにとって負担になる仕分け作業をアマゾンが肩代わりしているのです。仕分けされた物を配送するところだけをＵＳＰＳに任せることにより、日祝配送を実現したのです。そういった事情もあり、ＵＳＰＳはアマゾン以外のＥＣ事業者が日祝配送を依頼しても、受けてはくれません。自然とそこには参入障壁が出来上がるのです。これも、アマゾンのロジスティクスがいかに強い武器になっているかを示すエピソードでしょう。
アマゾンと物流大戦争 (ＮＨＫ出版新書),角井 亮一,なぜアマゾンにはそれができたのか。実はＵＳＰＳにとって負担になる仕分け作業をアマゾンが肩代わりしているのです。仕分けされた物を配送するところだけをＵＳＰＳに任せることにより、日祝配送を実現したのです。そういった事情もあり、ＵＳＰＳはアマゾン以外のＥＣ事業者が日祝配送を依頼しても、受けてはくれません。自然とそこには参入障壁が出来上がるのです。これも、アマゾンのロジスティクスがいかに強い武器になっているかを示すエピソードでしょう。
アマゾンと物流大戦争 (ＮＨＫ出版新書),角井 亮一,ＥＤＬＰでは、一定期間のセールなどで価格が上下することがない分、顧客の需要も一定して予測することができ、物流センターの稼働率も安定します。一方で、ＨＩＬＯはセール期間中にだけ予測不能な需要が立ち上がります。
アマゾンと物流大戦争 (ＮＨＫ出版新書),角井 亮一,このように、流通業において最終顧客の需要が変動することにより、その上流に位置する工場や物流センターほど大きな影響を受けることを、経営学の世界では「ブルウィップ効果（ Bullwhip Effect： 鞭 効果）」と呼びます。その名の通り、需要のぶれが鞭のように流通の上流へさかのぼり、大きな影響を与える様を表しています（
アマゾンと物流大戦争 (ＮＨＫ出版新書),角井 亮一,ます。あくまでロハコは「データを活用したマーケティングの研究・実践ができる場（ プラットフォーム）」という位置づけで、多くの大手メーカーを巻き込み、友好的な関係の構築に成功している
国家はなぜ衰退するのか　権力・繁栄・貧困の起源（上）,ダロン・アセモグル、ジェイムズ・A・ロビンソン、鬼澤 忍,本書が示すのは、ある国が貧しいか裕福かを決めるのに重要な役割を果たすのは経済制度だが、国がどんな経済制度を持つかを決めるのは政治と政治制度だということだ。
国家はなぜ衰退するのか　権力・繁栄・貧困の起源（上）,ダロン・アセモグル、ジェイムズ・A・ロビンソン、鬼澤 忍,こんにち異なるパターンの制度が過去に深く根を下ろしているのは、いったん社会が特定の方法で組織されると、それが持続する傾向があるからだ。われわれは、この事実が政治的・経済的制度の相互作用の仕方に由来することを明らかにする。
国家はなぜ衰退するのか　権力・繁栄・貧困の起源（上）,ダロン・アセモグル、ジェイムズ・A・ロビンソン、鬼澤 忍,しかし、ブシアの経験によって強調されるのは次のような事実である。すなわち、市場の失敗を減らし、経済成長を促す政策の採用を主に妨げるのは、政治家の無知ではなく、社会の政治・経済制度から生じ、彼らが直面するインセンティヴと制約なのである。
国家はなぜ衰退するのか　権力・繁栄・貧困の起源（上）,ダロン・アセモグル、ジェイムズ・A・ロビンソン、鬼澤 忍,貧しい国が貧しいのは、権力を握っている人々が貧困を生み出す選択をするからなのだ。彼らが間違いを犯すのは、誤解や無知のせいではなく、故意なのである。これを理解するには、経済学や、最善策に関する専門家の助言を乗り越え、代わりに、現実に決定がいかになされるか、決定に携わるのは誰か、その人たちがそうすると決めるのはなぜかを研究しなければならない。
国家はなぜ衰退するのか　権力・繁栄・貧困の起源（上）,ダロン・アセモグル、ジェイムズ・A・ロビンソン、鬼澤 忍,国家の本質とは、社会における「合法的な暴力の独占」だというのだ。
国家はなぜ衰退するのか　権力・繁栄・貧困の起源（上）,ダロン・アセモグル、ジェイムズ・A・ロビンソン、鬼澤 忍,国家が衰退するのは、収奪的な政治制度に支えられた収奪的な経済制度を持つときだ。
国家はなぜ衰退するのか　権力・繁栄・貧困の起源（上）,ダロン・アセモグル、ジェイムズ・A・ロビンソン、鬼澤 忍,経済成長のプロセスとその土台となる包括的制度は、政治の舞台でも経済市場でも勝者とともに敗者を生み出す。創造的破壊への恐怖は往々にして、包括的な経済制度や政治制度への反発の原因となるのだ。
国家はなぜ衰退するのか　権力・繁栄・貧困の起源（上）,ダロン・アセモグル、ジェイムズ・A・ロビンソン、鬼澤 忍,したがって成長が進むのは、みずからの経済特権の喪失を心配する経済的敗者によって、またみずからの政治権力の毀損を恐れる政治的敗者によって、成長が阻止されない場合に限られるのである。
みる　わかる　伝える (講談社文庫),畑村洋太郎,本書で扱う「みる」は視覚だけではなく、聴覚・嗅覚・味覚・触覚などの五感をフルに使い、目的意識をもって「みる」ことを指す。
