書籍タイトル,著者,要約
10年変革シナリオ　時間軸のトランスフォーメーション戦略,杉田 浩章,"Title: **""10年変革シナリオ: 時間軸のトランスフォーメーション戦略"" by 杉田 浩章**

**Summary:**

In ""10年変革シナリオ: 時間軸のトランスフォーメーション戦略,"" Hiroaki Sugita provides an incisive look into strategic transformation in businesses over a decade, focusing on developing strategies that navigate through both evolving and mature markets. This book outlines the tactics companies can leverage to stay ahead in a rapidly changing economic environment.

A core premise of Sugita's discussion is the inherent challenges businesses face as markets mature. Initially, leaders in burgeoning markets can capitalize on significant cost advantages. However, as these markets reach maturity, these advantages diminish, leading to a 'stalemate' where no player holds a decisive edge. The crucial question then becomes who will introduce a paradigm shift in these saturated industries and when.

Through detailed case studies, such as the strategic acquisitions made by a Japanese recruitment firm in the United States, Sugita illustrates how effective application of proven management strategies, such as unit management, can significantly enhance profitability. This example shows the acquisition of a small staffing firm for around three billion yen, leading to increased profit margins due to the integration of superior management practices. The success of this venture enabled further acquisitions and expansion, scaling up to become one of the leaders in the global staffing industry. 

Sugita also delves into the ""Innovation Dilemma,"" where traditional investment justifications and valuation standards bind decision-making, often stifling long-term, risky innovative ventures. This dilemma is prevalent across various businesses and poses a significant barrier to transformative growth unless addressed deliberately by leadership.

Strategically, the book advocates for a three-phase approach to investment:
1. **Core Business Optimization:** Where the firm focuses on maximizing returns from its primary operations.
2. **Growth Investment:** Where the company starts investing in emerging businesses that promise readable returns and can sustain short to medium-term cash flows.
3. **Venturing into Uncertain Markets:** Where the potential returns are not easily predictable but could lead to significant market share and influence if successful.

Leadership plays a pivotal role in this transformative endeavor. Sugita emphasizes the necessity of having committed field leaders who can bridge the gap between executive vision and ground-level execution, embodying the ventures as their own and driving the change.

Lastly, the author discusses the strategic lever of multiples, which are influenced primarily by growth potential and profitability. Companies positioned in expanding markets with efficient capital deployment and high profitability tend to be valued higher, emphasizing the need for strategic positioning and operational efficiency.

In summary, ""10年変革シナリオ"" provides a robust framework for understanding and strategizing business transformations over a decade, emphasizing market positioning, innovative disruption, and decisive leadership as key components of successful business strategies in changing times."
7 POWERS――最強企業を生む７つの戦略,ハミルトン・ヘルマー、リード・ヘイスティングス、助川 たかね,"""7 POWERS"" by Hamilton Helmer, with contributions from Reed Hastings, explores the foundational strategies that empower the most successful companies in today's fiercely competitive business environment. Fusing theoretical insights with practical examples, primarily from companies like Netflix, the book elucidates the strategic frameworks that give certain companies a sustainable competitive edge.

One of the core themes of the book is the idea of ""Network Economics,"" where the value of a product increases as more people use it. This concept plays a significant role in businesses that benefit from widespread adoption, multiplying the product's inherent value as the user base expands. The rise of social media platforms and digital streaming services are quintessential examples of this effect in action.

Critical to any company's strategy, according to Helmer, is understanding the dual elements necessary for reducing uncertainty when launching a new product or service: differentiation and delay of competitive response. A new offering must not only be attractive enough to drive market penetration but also needs to be structured in such a way that it delays or deters the response from existing competitors.

Arguably one of the most distinctive strategic insights from Helmer is ""Counter-Positioning."" This strategy involves developing a business model that, if replicated by incumbent firms, results in significant collateral damage to those incumbents. Counter-positioning thus presents a dilemma to established companies – whether to imitate and suffer the consequences, or to ignore and potentially cede market share. This strategy can force incumbents into a lose-lose situation, thereby giving emergent companies a critical window to secure their foothold and scale up.

Moreover, Helmer touches upon the topic of innovation and business reform, noting that meaningful transformation is rarely a result of top-down mandates but rather emerges from what he and his co-authors describe as ""limited rationality."" Economic agents achieve more through adaptation rather than strict rationality, implying that innovation often arises not from grand designs but from continuous, iterative improvements developed within new processes termed as ""routines.""

The book frequently uses Netflix as a case study to illustrate these points. Highlighting Netflix's early challenges with establishing a successful original content production through Red Envelope Entertainment and its eventual rise to a content powerhouse, Helmer demonstrates how Netflix's strategies of network economics, differentiation, and counter-positioning have been pivotal. Despite initial failures, Netflix's eventual success in content production exemplifies how persistence in innovative strategies can redefine competitive landscapes.

In essence, ""7 POWERS"" guides readers through understanding and applying the seven strategic powers that can enable a company to establish for itself a long-lasting competitive advantage. It is an invaluable resource for business leaders, strategists, and entrepreneurs aiming to forge sustainable paths in turbulent markets. Through a blend of theoretical frameworks and practical examples, Helmer not only articulates what these powers are but also how they can be systematically harnessed to achieve enduring business success."
Anthro Vision（アンソロ・ビジョン）　人類学的思考で視るビジネスと世界 (日本経済新聞出版),ジリアン・テット、土方奈美,"**Book Summary**

""Anthro Vision"" by Gillian Tett and Nami Hijikata is a remarkable exploration into how anthropological thinking can reveal deeper insights into both business practices and societal interactions. Drawing on diverse examples, the book compellingly argues for the incorporation of an anthropological lens in understanding complex modern phenomena – from digital behavior to the subtle intricacies of workplace dynamics.

At the core of the book is the plea to acknowledge the limitations of our own perspectives or ""lenses,"" which are inevitably clouded by biases and preconceptions. This theme is reiterated through the idea that every individual, regardless of their background, should consistently challenge their own viewpoints, probing whether their understanding would alter if they were an outsider or even an extraterrestrial observing human culture. This metaphor of the Martian observer acts as a powerful reminder of the importance of distancing oneself from familiar assumptions to comprehend the habitual blindness to the 'obvious'.

The book stresses the danger of unexamined assumptions, particularly in communication where sharing the same language or nationality might ironically heighten risk due to presumed shared understanding. To overcome this, it suggests active self-awareness and a relentless interrogation of universal concepts such as language, space, and time – an approach inspired by a 19th-century anthropologist, who warned of taking ""unquestioned premises"" for granted.

One prominent real-world application of anthropological vision discussed is in the realm of masks during the pandemic. Masks transcended their medical utility, symbolizing compliance with social norms and reflecting broader behaviors. This symbolic function changes the behaviors associated with wearing them.

The book also delves into the corporate and societal implications of ""habitus"" – a term from anthropology used to describe the shared dispositions and unconscious norms of a community. This is especially relevant in discussing remote work's impact on training young employees in the financial industry, indicating how separated work environments can disrupt the transmission of habitual practices and ethics.

Furthermore, the discussion around ESG (Environmental, Social, and Governance) exposes a less obvious motivator behind corporate adoption—self-preservation rather than genuine altruism. This revelation underscores the necessity of scrutinizing motives behind seemingly benevolent corporate behaviors.

The book critically evaluates the limitations of big data, which while powerful in mapping behaviors, often fails to explain the motivations underpinning these behaviors. Similarly, it is suggested that relational dynamics among people provide richer insights than examining human-animal relations alone.

In essence, ""Anthro Vision"" successfully champions the use of anthropological strategies in a business context to uncover layers of meaning that conventional methods might overlook. It challenges readers to perpetually cleanse their perceptual lenses—fully aware that they can never be completely transparent. Through its engaging narrative and thought-provoking insights, the book is a clarion call for a broader, more inclusive way of understanding our increasingly complex world."
BCG 次の10年で勝つ経営 企業のパーパス(存在意義)に立ち還る (日本経済新聞出版),ボストン コンサルティング グループ,"**Book Summary: BCG 次の10年で勝つ経営 企業のパーパス(存在意義)に立ち還る**

The book ""BCG 次の10年で勝つ経営 企業のパーパス(存在意義)に立ち還る,"" authored by ボストン コンサルティング グループ, delves into the evolving landscape of global economic trends and their implications for business strategy. Amidst a backdrop of slow economic growth in developed nations and a surplus of capital in financial markets, the book advocates for a reorientation towards corporate purpose as the foundation for sustained success.

One of the central themes of the book is the persistent stagnation in the economies of developed countries. The authors analyze various indicators, noting particularly that the broad measure of money supply relative to GDP has significantly increased, from 100% in 2008 to 124% in 2018. This expansion of capital availability highlights an excess of funds that, while potentially beneficial, could also lead to inefficiencies and imbalances in the market.

The book projects that this trend of financial easing and surplus capital will continue, as indicated by the posture of global financial authorities as of the end of 2019. Such conditions create a unique challenge for businesses, compelling them to navigate a landscape where simply accessing capital isn't enough to guarantee success. The saturation of funds demands that companies differentiate themselves through more than financial might alone.

Against this backdrop, the authors argue for the importance of a strong corporate purpose. In an era where money is plentiful but growth opportunities are constrained, they suggest that a firm's existential purpose—its core reason for being—becomes a critical anchor. A well-defined and genuinely embraced corporate purpose can guide strategy, innovation, and employee engagement, aligning all facets of the business towards a common goal that transcends quarterly earnings and market fluctuations.

The book also stresses the importance of adaptability and forward-thinking management practices that can leverage the abundant capital judiciously. Companies are encouraged to invest in long-term growth initiatives that are aligned with their core mission, rather than pursuing short-term gains. By focusing on sustainable practices and innovations that address genuine market needs and societal challenges, businesses can achieve durable growth and contribute positively to the broader economy.

Finally, ""BCG 次の10年で勝つ経営 企業のパーパス(存在意義)に立ち還る"" is not just a call to action; it is a strategy manual for thriving in an environment of capital abundance and economic stagnation. It meticulously outlines how leading with purpose can serve as a differentiating factor in the market, fostering resilience, inspiring innovation, and cultivating loyalty among customers and employees alike.

This book is crucial reading for business leaders and strategists looking to navigate the complexities of modern finance and gain a competitive edge by embracing their company's true purpose."
BRAND STORY TELLING　ブランドストーリーのつくりかた,ミリ・ロドリゲス、ローリングホフ 育未,"**Summary of “Brand Storytelling: ブランドストーリーのつくりかた” by ミリ・ロドリゲス and ローリングホフ 育未**

In the evolving landscape of consumer engagement, ""Brand Storytelling"" by Miri Rodriguez and Ikuimi Rollinghof offers an in-depth analysis on crafting narratives that resonate deeply with audiences. At the core of this insightful text is the premise that customers today crave immersive experiences throughout their journey from discovering to purchasing a product or service. They desire to be part of a story, not merely passive recipients of information.

A critical pitfall many companies face, as highlighted in the text, is the reliance on superficial data about their audiences—such as age and location—that fails to connect on a meaningful level. Too often, businesses tell fabricated stories in an attempt to align with this data, which does not genuinely engage their audience. Instead, Rodriguez and Rollinghof argue that understanding the subtle cultural nuances is paramount to effective storytelling, suggesting that mere demographics offer little in creating impactful narratives.

“Brand Storytelling” meticulously outlines the strategic steps necessary before crafting a brand's story. It emphasizes planning around characters, plot, and conclusions, ensuring that every element aligns strategically, rather than being coincidental. The authors define storytelling as the process of transitioning information—whether opinions, facts, or ideas—through an emotional delivery involving characters and plots that culminate in a meaningful resolution.

Modern ""smart customers"" are portrayed as deeply informed, digitally native, and creatively engaged, particularly with social and environmental issues. These consumers make purchasing decisions based on a brand's mission and values, reflecting their own identities and beliefs. In this context, brand storytelling transcends mere narration; it's about designing a narrative around the brand’s philosophy that not only tells a story but also stirs emotions and compels action.

The book emphasizes the importance of aligning the brand story with the corporate ethos, ensuring that characters, plot, and outcomes reflect the overarching values and mission of the brand. This alignment, the authors argue, is what makes a story resonate with an audience on a deeper level, moving beyond conventional advertising into the realm of meaningful engagement.

In conclusion, ""Brand Storytelling"" is a critical guide for marketers, brand managers, and storytellers who aspire to master the art of connecting with contemporary audiences through powerful, authentic narratives. By focusing on emotional engagement and cultural insights rather than superficial data, Rodriguez and Rollinghof provide a framework for crafting stories that are not only heard but felt, fostering a profound connection between brand and consumer that is both durable and mutually beneficial. This book offers practical insights into transforming a brand into a narrative powerhouse capable of captivating and engaging the modern conscientious consumer."
Build: An Unorthodox Guide to Making Things Worth Making (English Edition),Tony Fadell,"""Build: An Unorthodox Guide to Making Things Worth Making"" by Tony Fadell is an insightful exploration into the realms of innovation, leadership, and entrepreneurship. Through the trenchant perspectives and experiences of Fadell—who notably contributed to the creation of the iPod and worked intensively at Apple—the book serves as a manual for aspiring leaders and innovators aiming to create impactful and enduring products.

One of the fundamental themes of the book revolves around the nature of innovation itself. Fadell stresses the importance of fitting new technologies into people’s existing mental models, arguing that while innovation is essential, it must be grounded in familiar contexts to be accepted and understood. This idea is exemplified with the analogy of an overly complex Tesla design, which cautions against deviating too far from what people can readily comprehend and absorb.

Leadership, a pivotal aspect of creating successful products, is another major focus. Fadell dives into the nuances of leading teams toward the creation of groundbreaking products. He clarifies that leadership is not about reaching decisions through consensus nor about dictating orders without justification. Instead, it involves guiding teams by making informed, opinion-driven decisions and communicating the rationale behind these decisively. This nuanced approach helps in cultivating respect and understanding even when opinions diverge within a team.

Furthermore, Fadell emphasizes the crucial nature of the ""product story,"" which should appeal both emotionally and rationally, simplify complex concepts, and consistently remind everyone of the core problem the product intends to solve—the ""why"" of a product. This ""why"" is what makes a product necessary and is the driving force behind its development strategy.

Management style and its impact on product development are also substantial points. Fadell advises against micromanagement, urging leaders to focus on outcomes rather than over-involving themselves in the team’s process. This not only prevents leaders from stifling their teams’ independence but also encourages a focus on the overall success of projects rather than the minutiae of the daily tasks.

Lastly, Fadell discusses personal resilience and perspective-shift as vital for those leading a business. Separating personal issues from professional challenges and focusing on team achievements over individual accolades is key to sustained success and mental health.

""Build"" not only guides readers through mastering the complexities of making excellent products but also delves into managing one’s own journey within tumultuous, high-stake business environments. Fadell’s guide is an essential read for anyone looking to enhance their understanding and execution of innovation, leadership, and product development in the contemporary tech-driven landscape."
CFO思考――日本企業最大の「欠落」とその処方箋,徳成 旨亮,"Title: CFO Thinking: The Biggest 'Gap' in Japanese Businesses and Remedies

""CFO思考――日本企业最大的'缺失'与其处方箋"" by 徳成 旨亮, delves into the essential role that strategic financial leadership plays in modern corporate governance and the specific challenges faced by Japanese enterprises in this context. Through the lens of comparative analysis and detailed examination of corporate structures, the author identifies a significant deficiency in many Japanese companies: the lack of progressive financial strategies as embodied by successful global counterparts, particularly emphasizing the role of a Chief Financial Officer (CFO) who goes beyond traditional financial management.

One of the key themes presented in the book is the comparison between Japanese automotive giant Toyota and ASML, a lesser-known Dutch company specializing in producing photolithography machines for the semiconductor industry. The fact that ASML, despite being less renowned than Philips (another Dutch giant), has managed to achieve a market capitalization nearly ten times larger than Philips and almost equal to that of Toyota underscores the book’s argument about the potential of strategic financial leadership. This comparison serves to highlight the disparity between Japanese firms and their global rivals in terms of capitalization and market value.

A major insight from the book concerns the discussions within corporate board meetings, particularly those involving external directors. A critical point made is the necessity for these discussions to pivot around whether planned risks taken by management align ambitiously with the company’s capacity for risk-taking. The book criticizes overly conservative approaches prevalent in Japanese management, suggesting that they stifle what Keynes referred to as the ""animal spirits"" — the instincts, proclivities, and emotions that ostensibly influence human economic behavior.

Tokujo Shiryō proposes that activating these ""animal spirits"" through more adventurous yet calculated risk-taking and innovation in management approaches could be the key to revitalizing Japanese corporations and enhancing their competitiveness on the global stage. He emphasizes the role of the CFO in this process, suggesting that the CFO should not merely function as a financial controller but as a chief architect of corporate strategy and risk assessment. This strategic stance should involve a clear, forward-thinking approach that ensures the company not only stays relevant but also leads in innovation and market expansion.

In essence, the book serves both as a critique of and a prescription for the existing corporate governance models in Japan. It calls for a transformative shift in the mindset from conservative financial management to more dynamic and strategic roles, suggesting that such a shift is crucial for the survival and growth of Japanese companies in the highly competitive global market. The author’s vision extends beyond mere financial tactics to a broader, holistic strategy that integrates every aspect of corporate governance with a keen focus on long-term value creation, thus defining the ideal role of a CFO in a contemporary corporation.

Overall, ""CFO Thinking"" presents a compelling argument for the evolution of corporate financial leadership in Japan, making a strong case for the strategic empowerment of CFOs as an essential step toward reclaiming a competitive edge in the global arena."
HIGH OUTPUT MANAGEMENT,アンドリュー・S・グローブ、小林　薫,"""High Output Management"" by Andrew S. Grove offers a profound exploration of effective managerial practices that are designed to enhance productivity and adaptability within a business environment. The book emphasizes strategic planning, delegation, and hybrid organizational structures as vital tools to address today’s rapidly evolving market demands.

**Strategic Planning and Proactivity:** Grove stresses the importance of acknowledging and addressing ""today's gaps"" as a failure in earlier planning stages. The book underscores the imperative of foresight in management: anticipating future challenges and preparing accordingly, rather than reacting to situations as they arise. One pivotal analogy compares negligence in planning to running out of gas in a car—the chaos of crisis management could be avoided entirely with better preparation.

**Empowerment through Delegation:** Delegation is highlighted as a crucial managerial function, but for it to be effective, both the delegator and the delegatee must share a common understanding and approach to problem-solving. This mitigates the risk of over-involvement by managers in tasks that could be competently handled by their subordinates, thus focusing managerial efforts where they have the maximum leverage or ""teco"" (operational effectiveness).

**Stock of Projects:** Further, managers are advised to maintain a ""stock"" of projects – potential tasks and initiatives that keeps them engaged productively—preventing unnecessary meddling in their team's work. This approach not only bolsters productivity but also ensures that managers are not wasting their potentially high-value time on low-impact activities.

**Hybrid Organizational Structures:** Grove outlines the effectiveness of the hybrid organizational model used by Intel. Despite its inherent complexities and the dual affiliations it engenders, this model proves superior in flexibility and functionality when compared to more straightforward, but less effective structures. It shines in environments requiring rapid adaptation and decision-making, resonating with the dynamic demands of modern business landscapes.

**Mission-Centric Organization:** The book also supports the idea of organizing a company predominantly around mission-centric units. This structure ensures that different teams or divisions remain in constant touch with the evolving needs of their business segments, thus enabling swift and efficient responses to external changes.

**MBO Systems:** Lastly, Management by Objectives (MBO) is discussed not as a rigid set of directives but as a flexible tool that sets the pace for individual employees. This empowers individuals to measure their performance personally, supporting proactive and self-regulated work environments.

In essence, ""High Output Management"" provides a toolkit for modern managers aiming to boost their department's efficiency and responsiveness. It calls for a blend of strategic foresight, effective delegation, and an adaptable organizational framework to meet the future effectively, making it a critical read for leaders aiming to excel in today’s complex business ecosystem."
Hit Refresh（ヒット リフレッシュ）,サティア・ナデラ、グレッグ・ショー、ジル・トレイシー・ニコルズ、山田美明、江戸伸禎、ビル・ゲイツ,"""Hit Refresh,"" co-authored by Satya Nadella along with Greg Shaw and Jill Tracie Nichols, delves into the transformative changes at Microsoft under Nadella's leadership, emphasizing cultural overhaul, technological innovation, and philosophical grounding in leadership and corporate practices. 

A key theme of the book centers around the importance of having a clear purpose both for an individual and an organization. Nadella draws inspiration from Nietzsche’s philosophy, suggesting that understanding one’s “reason” for existence helps to endure any ""how"" of living and operating. This reflective questioning drives Microsoft’s current ethos and aims to prevent repeating past mistakes and fosters sincerity across the organization.

Under Nadella, Microsoft has embraced a significant cultural shift, moving away from a perceived hierarchical gatekeeping, where employees felt powerlessness, towards empowering individuals to initiate and drive change. Nadella recollects a moment during a Q&A when he encouraged an employee to solve a problem rather than wait for others, exemplifying his leadership approach of enabling and empowering his staff.

The narrative candidly analyses Microsoft’s historical product development strategies, acknowledging that prior pursuits, such as early tablet designs before the iPad and ebook readers before the Kindle, were hindered by prioritized software over an essential, user-focused integration of hardware characteristics like touchscreen capabilities and broadband connectivity. These reflections emphasize the vital shift in Microsoft’s approach to embracing comprehensive design thinking and the need for timely adaptation beyond simply catching up with competitors.

Nadella also highlights the importance of corporate synergy and collaboration, which he believes should not be viewed as zero-sum games. Through an improved approach in company alliances, he sees potential for growth not only for Microsoft but for all involved stakeholders, ultimately enhancing the collective pie rather than merely redistributing existing slices. This perspective transitions into how companies perceive artificial intelligence, advocating for a shift from seeing it as ""artificial"" intelligence to simply ""intelligence"" that enhances human capabilities.

Leadership, as Nadella discusses, isn’t about dictating every action but about setting clear directives and boosting confidence within teams. His vision extends beyond departmental success to invigorate the entire company, promoting an optimistic environment conducive to creativity and growth.

Ultimately, ""Hit Refresh"" is about reevaluating and revitalizing one's objectives. It stresses the necessity for every individual and organization to occasionally hit the refresh button, rethink their missions, innovate their approaches, and meet contemporary challenges dynamically. This narrative not only charts the evolution of Microsoft but serves as a broader call to action for thoughtful leadership and purpose-driven change in the modern business landscape."
INNOVATION STACK　だれにも真似できないビジネスを創る,ジム・マッケルビー、山形浩生,"""Innovation Stack: Creating an Unbeatable Business"" by Jim McKelvey and Hiroi Yamagata explores the concept of a stack of innovations that leads some companies to become leaders in their industries, impenetrable to competitors. This book explains why certain businesses achieve monumental success while effectively warding off competition, through a comprehensive study of unique business models and unconventional strategies.

One of the most compelling examples discussed in the book is Southwest Airlines, which achieved remarkable success through a series of inventive strategies. At one point, instead of competing purely on ticket prices, Southwest offered passengers the choice between a minimal fare or paying double for their ticket but receiving a free bottle of premium liquor like Seagram's, Crown Royal, or Smirnoff. This not only helped them retain customers but temporarily turned them into Texas's largest liquor distributor. It demonstrates that innovation isn't necessarily about creating an entirely new product or service; instead, it can be about reimagining the manner in which existing offerings are presented or bundled. 

The book emphasizes the importance of the entire innovation stack rather than individual elements. Herb Kelleher of Southwest Airlines articulated that competitors often fail to replicate their model because they focus on isolated elements, thinking that copying one aspect will make them the ""next Southwest Airlines"". However, the essence of the success lies in a complex mixture of multiple, integrated innovations — the innovation stack. This term refers to a unique combination of business strategies, operational tactics, and possibly even cultural phenomena that give a company its competitive edge.

Additionally, the book also touches upon the concept known as ""desirable difficulty"". The idea here is that if something is slightly difficult to understand or use, it becomes more memorable, and this tactic can be used strategically. For example, by adding an extra layer of complexity or interaction requirement to a product, companies can enhance consumer engagement and make their product or brand more memorable.

The ""Innovation Stack"" not only serves as a blueprint of how to think about innovation in business but importantly underscores the difficulty in replication. Copying a single innovation might be manageable; reproducing a complex, interconnected set of behaviors, strategies, and cultural traits is far more challenging. This makes the original innovator’s position in the market robust and difficult to usurp.

In conclusion, ""Innovation Stack: Creating an Unbeatable Business"" is an enlightening exploration into the mechanisms of business innovation that breed extraordinary success. Through detailed discussions and enlightening corporate stories, the authors illustrate how a layered approach to innovation can create a formidable barrier against competition and establish a company as a market leader. Readers looking to push the boundaries of traditional business models will find critical insights in this text about harnessing the full potential of innovation stacks."
