書籍タイトル,著者,ハイライト内容
経営者こそ投資家である 企業価値創造のためのキャピタル・アロケーション (日本経済新聞出版),手島直樹,同社はコーポレートガバナンス改革の以前から資本コストを意識した経営をしているため、多額の買収のファイナンスにも株式発行による資金調達は実施していません。
検証 ナチスは「良いこと」もしたのか？ (岩波ブックレット),小野寺 拓也、田野 大輔,政権を握ったヒトラーにとって最も重要な政策課題の一つが、就業人口の五〇％以上を占める労働者層の取り込みであった。それまで社会主義・共産主義勢力の影響下に置かれ、ナチ党への支持が相対的に低かった労働者層を自らの陣営に獲得しない限り、政治体制の安定化は望めなかったからである。ヒトラーは『わが闘争』のなかで、ナチズムは「その支持者をまず第一に労働者の陣営から呼び寄せなければならないだろう」と明言している
未来をつくる起業家　～日本発スタートアップの失敗と成功　20ストーリー～ (NextPublishing),ケイシー ウォール（Casey Wahl）,何よりも日本語という海外からの新規参入者を妨げる言語の壁
モダンエルダー　40代以上が「職場の賢者」を目指すこれからの働き方,チップ・コンリー、大熊 希美、関 美和、外村 仁,　ソクラテスは知恵を「自分の知識の限界を認識できること」と定義している。これは若い起業家、特に 20 代や 30 代（ニックの場合はもっと若く） に成功した人にとって難しい。傲慢と無知はよくセットで語られるし、多くの若いテック企業では実際同じようなものだ。
企業変革のジレンマ　「構造的無能化」はなぜ起きるのか (日本経済新聞出版),宇田川元一,この論文の中でワイクは、状況について当座の自分たちの理解を信じて行為してみること、あるいはジャズの即興演奏のように状況に応じて意味を見出していくことが、多義性の取り込みと解釈を生み、センスメイキングが進むのだと述べる。事前に合理的な戦略を考えることをよしとする旧来の常識よりも、行為を通じて意味が形成されるほうが現実に近く、適応力もあると彼は考えた。
二項動態経営　共通善に向かう集合知創造 (日本経済新聞出版),野中郁次郎、野間幹晴、川田弓子,　二項動態プロセスとしての組織的知識創造は楕円を描く。異なる二項は、相互作用して共通性を探りながら重なりを持つ一方で、重ならない独自性・異質性も保持するからである。花王元会長の常盤文克も「楕円思考」を示している。二つの異なる円を近づけていくと、重なりが生まれ、やがて楕円のような形になる。常盤は、一つの楕円のなかで双方が自分の原点をしっかりと持ちながら相手の存在も認める「対立的統一」の重要性を主張する＊ 30。ＡかＢかという二分法では、複雑な問題を解決することはできず、自分と対極の両方を含めて全体を見定めるべきなのである。
企業価値４倍のマネジメント－－結果にこだわるコンサルタントの定石 (日本経済新聞出版),火浦俊彦、ベイン・アンド・カンパニー,ベインが提案する「営業の生産性の最大化」の対象者は、一握りのトップ営業人材ではありません。人材の優劣は２対６対２の割合で分けられると言われますが、 上位２割の引き上げより６割の押し上げのほうが全体利益は増えます。実現には粘り強さを要しますが、組織および財務成果へのインパクトは大きいのです。
世界秩序の変化に対処するための原則　なぜ国家は興亡するのか (日本経済新聞出版),レイ・ダリオ、斎藤聖美,● 将来を予測し、上手に対処する能力は、変化を招く因果関係を理解する能力と、その因果関係が過去にどう変化をもたらしたかを学習する能力とに依存するということだった。
子どもは40000回質問する～あなたの人生を創る「好奇心」の驚くべき力～ (光文社未来ライブラリー),イアン・レズリー、須川 綾子,確かに、何も知らないことについて頭を働かせるのは難しい。それが面白いことだと想像できないからだ。あるいは、学び始めたら壮大さや難しさのせいで挫折するのではないかと怖じ気づいてしまうこともある。反対に、すでに知り尽くしているという自負がある事柄については、さらに知りたいとは思わないだろう。これら二つの領域の中間にあるのが、学習意欲を研究する専門家たちが「学習の最近接領域」と呼ぶものである。ここではわかりやすいように「好奇心の領域」と呼ぶことにしよう。好奇心の領域はすでに知っている領域の先と、十分に知っていると感じている領域の手前にある。
NEXUS 情報の人類史 上　人間のネットワーク,ユヴァル・ノア・ハラリ、柴田裕之,良くも悪くも、シリコンチップは、炭素ベースのニューロン（神経細胞）が課されている有機生化学的制約の多くを免れる。
RANGE（レンジ）　知識の「幅」が最強の武器になる,デイビッド・エプスタイン、東方 雅美、中室 牧子,彼らは、昔ながらのパターンを「避ける」スキルを持っていた。問題が曖昧で、明確なルールがない「意地悪な」世界では、「幅（レンジ）」が人生を生産的、かつ効率的にするための術となる。
「何回説明しても伝わらない」はなぜ起こるのか？　認知科学が教えるコミュニケーションの本質と解決策,今井むつみ,私たちはあらゆる物事についてスキーマを持ち、それを当たり前のものとして考えています。言い換えれば、ある人の「わかる」「わかった」は、あくまで「その人のスキーマ」を通してのものであるということ。 　あなたが意図した通りに伝わっているか、正しく理解されているかどうかは、実際のところ、「あなたとは関係のないところ」で決まってしまう、と言ってもいいかもしれません。なぜなら、相手が「わかった」かどうかはその人がどういうスキーマを持ってあなたの話を聞いているかに大きく依存してしまうからです。
現代思想入門 (講談社現代新書),千葉雅也,　脱構築の手続きは次のように進みます。 　①まず、二項対立において一方をマイナスとしている暗黙の価値観を疑い、むしろマイナスの側に味方するような別の論理を考える。 しかし、ただ逆転させるわけではありません。 　②対立する項が相互に依存し、どちらが主導権をとるのでもない、勝ち負けが留保された状態を描き出す。 　③そのときに、プラスでもマイナスでもあるような、二項対立の「決定不可能性」を担うような、第三の概念を使うこともある。
現代経済学の直観的方法,長沼伸一郎,つまり前線で数の大きさが競われるようになったため、国家は持てる力のすべてを前線に注ぎ込まねばならない羽目に陥ってしまったのであり、いわゆる「国家総力戦」への移行が不可避となったのである。
脳は世界をどう見ているのか　知能の謎を解く「1000の脳」理論,ジェフ ホーキンス、大田 直子,は、以前はつながっていなかったニューロン間に新しい結合を形成することによって起こるのだ。そして古い結合、あるいは使われていない結合が完全に取り除かれると、忘却が生じる。
マッキンゼー　勝ち続ける組織の10の法則 (日本経済新聞出版),スコット・ケラー、メアリー・ミーニー、マッキンゼー・アンド・カンパニー・ジャパン 人材・組織・パフォーマンスグループ,アジャイルになるためには、経営幹部は、組織設計のどの部分が安定的で不変であるべきかを見極めると同時に、新しい課題や機会に素早く適応できるような、より緩やかでダイナミックな要素を作り出すことが必要だ。スマートフォンに例えると、まずハードウェアとＯＳを選び（安定性）、次に便利なアプリを開発・改良できるようにコントロールを手放す（アジャイルさ） 必要がある。例えば、組織の主軸を選び（安定性）、特定のニーズを解決するために一時的なチームの形成を促す（スピード）。あるいは、いくつかの特徴的なプロセスで作業を標準化し（安定性）、他の領域では反復サイクルを通じて作業を調整する（スピード）。あるいは、共有された文化的価値観を重視し（安定性）、その価値観に沿った意思決定を行うため現場に抜本的な権限を与える（スピード） ことも可能だ。
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,ディープラーニングでは、このように「ちょっと違ったかもしれない過去」のデータをたくさんつくり、それを使って学習することで、「絶対に間違いではない」特徴量を見つけ出す。そして、「絶対に間違いではない」特徴量であるがゆえに、その特徴量を使った高次の特徴量も見つけることができるのである。
確率思考の戦略論　どうすれば売上は増えるのか,森岡 毅、今西 聖貴,一聴して“ごもっとも”に感じるこのターゲティング理論の間違いとは何か？　それは“ターゲティングありき”で考えているところが間違っている のです。ターゲティングした方が効率は上がるから、消費者を絞ってマーケティング予算を集中した方が良いと信じきっているその思考法が間違っています。我々はその真逆を主張したいのです。「できるだけ広く売る方法ありきで考えるべき。なぜならばその方が効率が良いから」 と。我々にとって、ターゲティングとは、どうしようもない条件下においての消極的な選択であり、最初の100円をどこから使うのかという優先順位の“結果”に過ぎないからです。
組織――「組織という有機体」のデザイン 28のボキャブラリー,横山 禎徳,組織の場合、「あちらを立てればこちらが立たず」の状況に直面した場合には、最初はどちらかを選択し、どちらかを犠牲にするのがよい。 当然ながら、選択したほうはうまくいくが、犠牲にしたほうはだんだんうまくいかなくなる。 そして頃合いを見計らって、タイミングを見極めたうえで今度は逆にする。最初に選択したほうは、それでも元の木阿弥にはならない。最初の慣性が残っているからだ。これを繰り返すことで、全体の底上げが図られる。組織とは、このように縦にしてみたり、横にしてみたりしながら、組織が持っているダイナミズムをコントロールすることで、成長・発展させることができる。
テクノロジーの世界経済史　ビル・ゲイツのパラドックス,カール・B・フレイ、村井 章子、大野 一,ば、外的な圧力の脅威が、国内の社会不安の恐れを上回るようになったのである。都市間の競争が激化し、機械化の進んだ都市が有力になるにつれて、労働置換技術に猛烈に抵抗してきた手工業ギルドは弱体化した。政府にとっては、ギルドを見限り実業家や発明家に味方することが容易になったわけである。
進化するブランド: オートポイエーシスと中動態の世界,淳蔵 石井,進化するタイプのブランドの核心となるテーマは、「ブランドとしての同一性を保ちながらも、変容し続けること」にあります。
「何回説明しても伝わらない」はなぜ起こるのか？　認知科学が教えるコミュニケーションの本質と解決策,今井むつみ,・言葉を尽くして説明しても、相手に１００％理解されるわけではない。 ・同じものを見たり聞いたりしても、誰もが同じような理解をするわけではない。 ・「言われた」ということと「理解した・わかった」というのは根本的に別物で、「言われたけど理解できない」ことも往々にして起こり得る。
アフターデジタル２ ＵＸと自由,藤井 保文,世界観を体現する新しいUXを生み出すこと」
Build: An Unorthodox Guide to Making Things Worth Making (English Edition),Tony Fadell,"Early adulthood is about watching your dreams go up in flames and learning as much as you can from the ashes. Do, fail, learn. The rest will follow."
「何回説明しても伝わらない」はなぜ起こるのか？　認知科学が教えるコミュニケーションの本質と解決策,今井むつみ,私たちはあらゆる物事についてスキーマを持ち、それを当たり前のものとして考えています。言い換えれば、ある人の「わかる」「わかった」は、あくまで「その人のスキーマ」を通してのものであるということ。 　あなたが意図した通りに伝わっているか、正しく理解されているかどうかは、実際のところ、「あなたとは関係のないところ」で決まってしまう、と言ってもいいかもしれません。なぜなら、相手が「わかった」かどうかはその人がどういうスキーマを持ってあなたの話を聞いているかに大きく依存してしまうからです。
ほんとうの構造主義　言語・権力・主体 ＮＨＫブックス,出口 顯,レヴィ＝ストロースにとって、意味とは一つ一つの細部に宿るのではなく、異本と異本の間に、言い換えれば、相互の示差的関係の中に、見いだせるものなのである。
グループ経営入門【第4版】: グローバルな成長のための本社の仕事,松田　千恵子,企業の存在はゴーイング・コンサーン（Going Concern）、すなわち永続的に存在することを前提としています。ちなみに、この〝Concern〟は、〝心配〟〝懸念〟という意味ではありません。ドイツ語の「コンツェルン」にみられるように、会社、あるいは事業の意味です。
シリコンバレー最重要思想家ナヴァル・ラヴィカント,エリック・ジョーゲンソン、櫻井 祐子,誰かを批判するときは、人物を批判する代わりに、その人の全般的な方針や行動を批判する。 　誰かをほめる必要があるときは、その人の一番よいところを探して、具体的にほめる。そうすれば、人間につきもののエゴやアイデンティティに邪魔されず、むしろ味方につけることができるんだ［
経営×人材の超プロが教える人を選ぶ技術,小野壮彦,　例えば人間関係にすごく重要性を置いている人は、「チーム」「周り」「育てる」「思いやり」などに関する言及が多い。過去の成功体験などについて聞くと、「あのときはチームが一致団結して、すごくうれしかったんですよ」などと答える。 　一方、目標意識が強い人の場合は、周りの人の話はあまり出てこない。いかに目標を達成したかという、結果を重視した言及に終始するからだ。このタイプは数字について語る傾向が強い。 　あるべき姿を第一の価値観とする人は、「お客様のために上司を説得して……」といった改善系のエピソードを好んで話す。人間は、自分語りをするときには、自分が何を大事にしているのかという価値観に、おのずと力点を置いて話す生き物だからである。
世界秩序の変化に対処するための原則　なぜ国家は興亡するのか (日本経済新聞出版),レイ・ダリオ、斎藤聖美,進化は改善をもたらす上向きの動きだ。それは適応と学習から生じる。それを取り巻くのがサイクルだ。私には、すべてが改善の上昇軌跡にあり、サイクルがそれを取り巻くように見える。
爆速成長マネジメント,イラッド・ギル、浅枝 大志、大熊 希美,データによる参入障壁の事例は科学の領域ですら見かけません。データネットワーク効果が最も価値を発揮する最新の領域はディープラーニングだと言われていますが、ディープラーニングそのものにもイノベーションが起き、少量のデータセットで実現する手法が出てきています。大量のデータを価値とするデータネットワーク効果と相反するイノベーションが、最も価値を発揮するであろうと言われるディープラーニングで起きているわけです。そもそもの根拠すらブレているためリスキーに感じます。
日本人のための第一次世界大戦史 (角川ソフィア文庫),板谷 敏彦,イギリス海軍（ロイヤル・ネイヴィー） の使命は世界に広がる大英帝国の植民地を守り、本国とのシーレーンを確保することにありました。またアヘン戦争やクリミア戦争、ボーア戦争などのように、遠隔の紛争地に他国の干渉を受けることなくピンポイントに兵力と 兵站 を送り込める海上輸送力の維持でした。これこそが広大な植民地を抱えるパクス・ブリタニカを支えた海上覇権だったのです。
昭和１００年,古市憲寿,　その「近代」を説明する際に、必ず持ち出される出来事の一つが、１６４８年のウェストファリア講和条約だった。終わりのない宗教戦争に終止符を打ち、国家が特定の領土を持ち、その領土内の国民が国家の主権を構成する国民国家という仕組みの起点となったとされる。宗教の時代から、人間の時代へのターニングポイントだ。
"Zero to One: Notes on Startups, or How to Build the Future (English Edition)",Peter Thiel、Blake Masters,All happy companies are different:
センスメイキング――本当に重要なものを見極める力,クリスチャン・マスビアウ、斎藤 栄一郎,「単純な感覚それ自体を持った者は、いまだかつていない。意識（中略） は、数え切れないほどの対象と関係から生まれる」 　白鳥といえども、赤い光を浴びれば赤く見える。この白鳥の本当の色を理解するには、光の特性も理解している必要がある。言い換えれば、事実は常に文脈の中に存在するのであって、そうした事実を個別のデータポイントに切り刻んでしまっては、無意味で不完全なものになるだけだ。
利他・ケア・傷の倫理学,近内悠太,それゆえ 多様性の時代とは、 僕らの善意が空転する時代のこと なのです。
モダンエルダー　40代以上が「職場の賢者」を目指すこれからの働き方,チップ・コンリー、大熊 希美、関 美和、外村 仁,作家のニール・ゲイマンは「グーグルに何か聞けば、何十万もの答えを返してくれるが、司書は正しい答えを教えてくれる」と書いた。グーグルは世界最高峰の検索エンジンかもしれない。けれど、人の感情や思考の機微までは理解できない。必要な知恵を得るのに、検索エンジンより優秀なカウンセラーやアドバイザーが適任な場合もある。そう考えるとモダンエルダーの重要な役割のひとつは「会社の司書」として、社内の膨大な知識と知恵を選り分けることと言えるのではないだろうか。
ニューヨークのアートディレクターがいま、日本のビジネスリーダーに伝えたいこと,小山田育、渡邊デルーカ瞳,ない「Visual Literacy ビジュアルリテラシー」という能力。これは、物ごと、概念や情報、考えや想いを、理解し咀嚼し、画像やイラストなどといった視覚的なかたちに変換して落とし込む能力のこと。
教養としてのアート 投資としてのアート,徳光健治,これまでは 作品とアーティストは別々に考えられてましたが、同一視されるようになってきた のです。作品そのものがアイデンティティをもっていた時代から考えると、タレントのような人たちが既存のアーティストにとってもライバルになりつつあります。
世界秩序の変化に対処するための原則　なぜ国家は興亡するのか (日本経済新聞出版),レイ・ダリオ、斎藤聖美,と価値観の格差が大きく、景気が低迷しているとき、全体のパイをどう分配するかで多くの対立が生じやすい。
現代経済学の直観的方法,長沼伸一郎,銀行・金融機関は資本の「補給革命」を起こすことで社会全体を近代資本主義という一つの巨大な相転移に巻き込み、その中枢に居座っている。
グループ経営入門【第4版】: グローバルな成長のための本社の仕事,松田　千恵子,現事業から得られたキャッシュフローから、現事業維持のために使われるキャッシュフローを差し引いたものがフリーキャッシュフロー です。
7 POWERS――最強企業を生む７つの戦略,ハミルトン・ヘルマー、リード・ヘイスティングス、助川 たかね,ネットフリックスはそれ以前にもレッド・エンベロープ・エンタテインメントという映像プロダクションを設立し、そこでオリジナル作品を制作したことがあったが、その結果は芳しくなかった。そのため、再度の制作への挑戦も無謀な作戦に終わるかもしれないと危惧された。
企業価値４倍のマネジメント－－結果にこだわるコンサルタントの定石 (日本経済新聞出版),火浦俊彦、ベイン・アンド・カンパニー,　 経営陣の仕事は数字の後追いではなく、良いものであれ、悪いものであれ、業績変化の予兆を察知し、競合をしのぐスピードと徹底度合いで打ち手を実行すること にあります。
NEXUS 情報の人類史 上　人間のネットワーク,ユヴァル・ノア・ハラリ、柴田裕之,歴史は過去の研究ではない。変化の研究だ。歴史は、何が変わらず、何が変化し、物事がどのように変化するかを教えてくれる。
世界は贈与でできている　資本主義の「すきま」を埋める倫理学 (NewsPicksパブリッシング),近内悠太,　手に入れた知識や知見そのものが贈与であることに気づき、そしてその知見から世界を眺めたとき、いかに世界が贈与に満ちているかを悟った人を、教養ある人と呼ぶのです。
人工知能は人間を超えるか (角川ＥＰＵＢ選書),松尾 豊,コンピュータが概念（シニフィエ、意味されるもの）を自力でつくり出せれば、その段階で「これは人間だ」「これはネコだ」という記号表現（シニフィアン、意味するもの）を当てはめてやるだけで、コンピュータはシニフィアンとシニフィエが組み合わさったものとしての記号を習得する。
企業変革のジレンマ　「構造的無能化」はなぜ起きるのか (日本経済新聞出版),宇田川元一,対話とは、実際に人と人が話をすることだけを意味しない。むしろ、相手の生きる世界を相手の視点で捉え直し、それに対して自分が応答し、自分が変わっていくプロセスこそが対話である。
現代経済学　ゲーム理論・行動経済学・制度論 (中公新書),瀧澤弘和,行動経済学は、必ずしも意識的・意図的に選択したのではない人間活動まで関心の領域を広げた経済学であり、伝統的な経済学と人間に対する見方が異なるのである。
日本人のための第一次世界大戦史 (角川ソフィア文庫),板谷 敏彦,またフランスからの宣戦布告を引き出すことによって、プロイセンを中心とするドイツにとっては防衛戦争の名目をも手に入れたのです。戦争をしかけてきたのはフランスの方である、というわけです。さらにビスマルクの外交手腕によって背後の敵であるハプスブルクは牽制されて、このドイツの戦争の敵は国境の西側のフランスだけに限定されていました。
現代経済学　ゲーム理論・行動経済学・制度論 (中公新書),瀧澤弘和,交換しない場合と比較して、よりよい状態になると想定することは自然な発想であろう。新古典派経済学のもっとも基本的なところには、このアイディアがあり、それは交換の経済学と規定することが可能である。ただし、この基本的アイディアが、アダム・スミスの「見えざる手」を説明するような市場理論にまで高められるには、もう一つのステップを介在させる必要があった。それは価格をシグナルとする完全競争市場の場で、誰と誰が交換できるかが決定されることである。これによって、社会的にもっとも望ましい交換の状態が実現されることが説明される。
